Date,Time,Sym,Market,Reason Code,Res DT,Res QT TM,Res TRD TM,Vol,Flt Sht,Days,Price,M Cap M
2021-08-19,09:31:13,SNOA,NASDAQ,LUDP,08/19/2021,09:31:13,09:36:13,119262,0.07,0,8,17
2021-07-15,10:56:36,MMMB,NASDAQ,LUDP,07/15/2021,10:56:36,11:01:36,NA,NA,NA,NA,NA
2021-07-16,09:30:18,TCBS,NASDAQ,LUDP,07/16/2021,09:30:18,09:40:18,NA,NA,NA,NA,NA
2021-07-16,12:52:14,ARL,NYSE,M,07/16/2021,12:57:22,12:57:22,7976,0.0,0,13,214
2021-07-15,11:37:11,GPX,NYSE,T1T3,07/15/2021,12:06:39,12:06:39,1240,0.01,12,19,334
2021-07-15,13:00:36,EVGO,NASDAQ,LUDP,07/15/2021,13:00:36,13:10:36,10414,NA,2,12,3350
2021-07-15,16:00:37,CRVS,NASDAQ,T1T2T3,07/15/2021,16:30:00,16:35:00,445,0.04,72,2,86
2021-07-15,17:01:01,PFDR,NASDAQ,T1T2T3,07/15/2021,17:50:00,17:55:00,NA,NA,NA,NA,NA
2021-07-15,17:01:01,PFDRU,NASDAQ,T1T2T3,07/15/2021,17:50:00,17:55:00,33,NA,0,10,0
2021-07-15,17:01:01,PFDRW,NASDAQ,T1T2T3,07/15/2021,17:50:00,17:55:00,NA,NA,NA,NA,NA
2021-07-16,10:03:03,MOHO,NASDAQ,LUDP,07/16/2021,10:03:03,10:08:03,45,0.0,319,1,52
2021-07-16,11:02:22,GXGXU,NASDAQ,LUDP,07/16/2021,11:02:22,11:07:22,NA,NA,NA,NA,NA
2021-08-25,09:30:28,RGC,NASDAQ,LUDP,08/25/2021,09:30:28,09:35:28,NA,NA,NA,NA,NA
2021-07-16,11:02:25,GXGX,NASDAQ,LUDP,07/16/2021,11:02:25,11:07:25,565,0.03,43,8,287
2021-07-16,14:07:40,KDMN,NASDAQ,T1T2T3,07/16/2021,14:40:00,14:45:00,2117,0.26,54,3,591
2021-07-16,14:56:39,KRBP,NASDAQ,LUDP,07/16/2021,14:56:39,15:01:39,NA,NA,NA,NA,NA
2021-07-16,16:39:09,PPX,NYSE,T1,,,,NA,NA,NA,NA,NA
2021-07-19,07:00:08,ENNV,NASDAQ,T2T3,07/19/2021,07:25:00,07:30:00,NA,NA,NA,NA,NA
2021-07-19,07:00:08,ENNVU,NASDAQ,T2T3,07/19/2021,07:25:00,07:30:00,3484,0.0,1,10,0
2021-07-19,07:00:08,ENNVW,NASDAQ,T2T3,07/19/2021,07:25:00,07:30:00,NA,NA,NA,NA,NA
2021-07-23,15:25:36,EVLV,NASDAQ,LUDP,07/23/2021,15:25:36,15:43:20,NA,NA,NA,NA,NA
2021-08-12,14:52:26,FRLN,NASDAQ,LUDP,08/12/2021,14:52:26,15:02:26,5484,0.01,2,3,143
2021-07-19,10:48:20,TPGY=,NYSE,M,07/19/2021,10:53:24,10:53:24,NA,NA,NA,NA,NA
2021-07-19,15:32:16,AEHR,NASDAQ,LUDP,07/19/2021,15:32:16,15:37:16,137224,0.01,0,6,124
2021-07-19,16:00:11,ARDX,NASDAQ,T1T2T3,07/19/2021,16:25:00,16:30:00,11967,0.14,4,7,758
2021-07-20,06:56:33,MDWD,NASDAQ,T1T2T3,07/20/2021,07:25:00,07:30:00,4879,0.02,3,4,119
2021-07-20,09:30:17,PYPD,NASDAQ,LUDP,07/20/2021,09:30:17,09:35:17,21,0.0,764,7,134
2021-07-20,09:41:24,NABL,NYSE,M,07/20/2021,09:46:26,09:46:26,NA,NA,NA,NA,NA
2021-09-10,11:32:48,SPRT,NASDAQ,LUDP,09/10/2021,11:32:48,11:37:48,29500,0.41,0,21,510
2021-07-20,09:56:53,IKNA,NASDAQ,LUDP,07/20/2021,09:56:53,10:06:53,2524,0.05,11,13,422
2021-07-20,11:24:08,STAF,NASDAQ,LUDP,07/20/2021,11:24:08,11:29:08,44767,0.01,0,3,26
2021-08-27,10:02:28,NURO,NASDAQ,LUDP,08/27/2021,10:02:28,10:07:28,95259,0.14,0,2,103
2021-07-20,15:52:04,SVFD,NASDAQ,LUDP,07/20/2021,15:52:04,16:00:00,NA,NA,NA,NA,NA
2021-07-20,19:50:12,ALXN,NASDAQ,T12,,,,89855,0.04,2,182,40560
2021-07-21,04:00:09,PLL,NASDAQ,T1T2T3,07/21/2021,10:40:00,10:45:00,1885,0.21,1,50,795
2021-07-21,07:55:00,MGTA,NASDAQ,T1T2T3,07/21/2021,08:25:00,08:30:00,104,0.08,174,8,506
2021-07-21,09:05:03,XPDI,NASDAQ,T1T2T3,07/21/2021,09:55:00,10:00:00,9,0.0,3674,9,423
